latitude,longitude,trip_timestamp,trip_id
52.391,9.7521,1654676108948,881adde5-5f36-4952-915d-42e971ce8529
52.3909,9.752,1654676145902,881adde5-5f36-4952-915d-42e971ce8529
52.3908,9.7519,1654676149867,881adde5-5f36-4952-915d-42e971ce8529
52.3908,9.7518,1654676153903,881adde5-5f36-4952-915d-42e971ce8529
52.3907,9.7516,1654676157892,881adde5-5f36-4952-915d-42e971ce8529
52.3907,9.7515,1654676167911,881adde5-5f36-4952-915d-42e971ce8529
52.3906,9.7513,1654676172880,881adde5-5f36-4952-915d-42e971ce8529
52.3905,9.7512,1654676176915,881adde5-5f36-4952-915d-42e971ce8529
52.3905,9.751,1654676179898,881adde5-5f36-4952-915d-42e971ce8529
52.3904,9.7509,1654676181898,881adde5-5f36-4952-915d-42e971ce8529
52.3904,9.7507,1654676183928,881adde5-5f36-4952-915d-42e971ce8529
52.3904,9.7505,1654676185898,881adde5-5f36-4952-915d-42e971ce8529
52.3903,9.7504,1654676187916,881adde5-5f36-4952-915d-42e971ce8529
52.3909,9.751,1654676190310,881adde5-5f36-4952-915d-42e971ce8529
52.3911,9.75,1654676190314,881adde5-5f36-4952-915d-42e971ce8529
52.3912,9.7498,1654676192124,881adde5-5f36-4952-915d-42e971ce8529
52.3911,9.7498,1654676192130,881adde5-5f36-4952-915d-42e971ce8529
52.3911,9.7497,1654676194889,881adde5-5f36-4952-915d-42e971ce8529
52.3909,9.751,1654676200008,881adde5-5f36-4952-915d-42e971ce8529
52.3911,9.7495,1654676200015,881adde5-5f36-4952-915d-42e971ce8529
52.3912,9.7495,1654676203963,881adde5-5f36-4952-915d-42e971ce8529
52.3912,9.7495,1654676203984,881adde5-5f36-4952-915d-42e971ce8529
52.3913,9.7495,1654676206886,881adde5-5f36-4952-915d-42e971ce8529
52.3914,9.7496,1654676209902,881adde5-5f36-4952-915d-42e971ce8529
52.3915,9.7496,1654676211892,881adde5-5f36-4952-915d-42e971ce8529
52.3917,9.7496,1654676214861,881adde5-5f36-4952-915d-42e971ce8529
52.3918,9.7497,1654676217891,881adde5-5f36-4952-915d-42e971ce8529
52.3919,9.7497,1654676220897,881adde5-5f36-4952-915d-42e971ce8529
52.392,9.7497,1654676223891,881adde5-5f36-4952-915d-42e971ce8529
52.3921,9.7498,1654676226888,881adde5-5f36-4952-915d-42e971ce8529
52.3921,9.7498,1654676230898,881adde5-5f36-4952-915d-42e971ce8529
52.3922,9.7499,1654676235922,881adde5-5f36-4952-915d-42e971ce8529
52.3923,9.7498,1654676238904,881adde5-5f36-4952-915d-42e971ce8529
52.3924,9.7499,1654676244894,881adde5-5f36-4952-915d-42e971ce8529
52.3925,9.7499,1654676252897,881adde5-5f36-4952-915d-42e971ce8529
52.3925,9.7499,1654676255111,881adde5-5f36-4952-915d-42e971ce8529
52.3925,9.7497,1654676255115,881adde5-5f36-4952-915d-42e971ce8529
52.3925,9.7496,1654676255893,881adde5-5f36-4952-915d-42e971ce8529
52.3925,9.7494,1654676256876,881adde5-5f36-4952-915d-42e971ce8529
52.3925,9.7491,1654676257902,881adde5-5f36-4952-915d-42e971ce8529
52.3925,9.7489,1654676258894,881adde5-5f36-4952-915d-42e971ce8529
52.3925,9.7487,1654676259889,881adde5-5f36-4952-915d-42e971ce8529
52.3925,9.7485,1654676261060,881adde5-5f36-4952-915d-42e971ce8529
52.3925,9.7487,1654676261060,881adde5-5f36-4952-915d-42e971ce8529
52.3926,9.7484,1654676261903,881adde5-5f36-4952-915d-42e971ce8529
52.3926,9.7482,1654676262889,881adde5-5f36-4952-915d-42e971ce8529
52.3926,9.748,1654676263899,881adde5-5f36-4952-915d-42e971ce8529
52.3926,9.7479,1654676264882,881adde5-5f36-4952-915d-42e971ce8529
52.3926,9.7476,1654676266891,881adde5-5f36-4952-915d-42e971ce8529
52.3926,9.7473,1654676268893,881adde5-5f36-4952-915d-42e971ce8529
52.3926,9.7472,1654676270871,881adde5-5f36-4952-915d-42e971ce8529
52.3926,9.747,1654676307893,881adde5-5f36-4952-915d-42e971ce8529
52.3926,9.7469,1654676311901,881adde5-5f36-4952-915d-42e971ce8529
52.3926,9.7467,1654676320894,881adde5-5f36-4952-915d-42e971ce8529
52.3926,9.7467,1654676323153,881adde5-5f36-4952-915d-42e971ce8529
52.3926,9.7466,1654676323156,881adde5-5f36-4952-915d-42e971ce8529
52.3928,9.7465,1654676324874,881adde5-5f36-4952-915d-42e971ce8529
52.3928,9.7464,1654676326039,881adde5-5f36-4952-915d-42e971ce8529
52.3929,9.7464,1654676326040,881adde5-5f36-4952-915d-42e971ce8529
52.393,9.7462,1654676326947,881adde5-5f36-4952-915d-42e971ce8529
52.3931,9.7462,1654676328054,881adde5-5f36-4952-915d-42e971ce8529
52.3932,9.7461,1654676328058,881adde5-5f36-4952-915d-42e971ce8529
52.3932,9.7461,1654676329034,881adde5-5f36-4952-915d-42e971ce8529
52.3933,9.746,1654676329046,881adde5-5f36-4952-915d-42e971ce8529
52.3934,9.7459,1654676329899,881adde5-5f36-4952-915d-42e971ce8529
52.3935,9.7458,1654676330898,881adde5-5f36-4952-915d-42e971ce8529
52.3935,9.7457,1654676331883,881adde5-5f36-4952-915d-42e971ce8529
52.3936,9.7457,1654676332903,881adde5-5f36-4952-915d-42e971ce8529
52.3936,9.7457,1654676334114,881adde5-5f36-4952-915d-42e971ce8529
52.3937,9.7456,1654676334115,881adde5-5f36-4952-915d-42e971ce8529
52.3939,9.7455,1654676334900,881adde5-5f36-4952-915d-42e971ce8529
52.394,9.7454,1654676335885,881adde5-5f36-4952-915d-42e971ce8529
52.3941,9.7453,1654676336896,881adde5-5f36-4952-915d-42e971ce8529
