uniform_resource_identifier,sender_id,receiver_id,signature_of_sender,signature_of_receiver,transfer_date_time,confirm_date_time
81db2682-43e5-11ed-8cdc-4122cc65b5e4,aff72924-4356-11ed-8cdc-4122cc65b5e4,0e87f388-4357-11ed-8cdc-4122cc65b5e4,e420ef5d34bfbb1c46d86e503c270bde98c6558e73d7b774fe89508712ae63c6fe800820ce217fc3a465cf25dae456b9457a31bc35f99f373d50deb42e480007,10522ea90015004cd260c850dce0a8c502de2b54b257f98d696dd6984dd1bde00c3ac30c72bcc933834e614a5f58ccf095ad44821c7cba62838958e33d0e420c,2022-10-04 15:08:47.714826,2022-10-04 15:11:28.355176
e6fbe4cc-43ed-11ed-8cdc-4122cc65b5e4,aff72924-4356-11ed-8cdc-4122cc65b5e4,0e87f388-4357-11ed-8cdc-4122cc65b5e4,ed58a0496192fa4ad3713fea7de110ae118623e2dfc98b5f110249db9cac4341a43a4e0df87b17847e7bf334c48e445cc41c0565cdd92d796776c0d4a130a50c,42ee8f017c0aa1023d4625aecd30cbc6a9db291e0580a9f46075355cf7b161a24f28513b9958135d2bd74679f65aefeca0ef76a30c81a83b7344b95a6bee270e,2022-10-04 16:07:51.301946,2022-10-04 16:09:18.229194
